,date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,daylight_duration,sunshine_duration,uv_index_max,uv_index_clear_sky_max,precipitation_sum,rain_sum,showers_sum,snowfall_sum,precipitation_hours,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,produccion
0,2024-02-13 22:00:00+00:00,3.0,15.7,8.75,15.538042,8.154735,0,0,38235.24,23899.379,3.1,4.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.880001,50.758278,10.71,1.4737208,37.30
1,2024-02-14 22:00:00+00:00,61.0,14.4,9.45,13.709021,7.6328096,0,0,38385.285,14400.0,3.4,4.05,6.8999996,6.8999996,0.0,0.0,10.0,84.0,18.864824,32.760002,85.006355,6.12,0.9166588,20.62
2,2024-02-15 22:00:00+00:00,53.0,14.25,7.6,12.418856,5.0035515,0,0,38535.96,34600.77,4.2,4.2,1.3000001,1.3000001,0.0,0.0,3.0,74.0,12.303366,28.8,193.62689,18.13,2.5174065,47.75
3,2024-02-16 22:00:00+00:00,0.0,15.85,2.65,14.161615,-0.038550377,0,0,38687.12,35395.066,4.3,4.3,0.0,0.0,0.0,0.0,0.0,0.0,8.534353,18.359999,98.8067,19.74,2.7736375,58.99
4,2024-02-17 22:00:00+00:00,3.0,16.05,2.55,15.06307,-0.83308315,0,0,38838.633,34571.203,4.1,4.45,0.0,0.0,0.0,0.0,0.0,0.0,10.495713,13.679999,42.233166,17.55,2.500076,59.23
5,2024-02-18 22:00:00+00:00,3.0,17.25,3.9,16.579845,1.6424627,0,0,38990.355,34953.867,4.4,4.4,0.0,0.0,0.0,0.0,0.0,0.0,6.9247384,15.84,31.328632,19.49,2.8472967,58.63
6,2024-02-19 22:00:00+00:00,3.0,17.8,3.3,15.712622,0.28989267,0,0,39142.156,35874.027,4.45,4.45,0.0,0.0,0.0,0.0,0.0,0.0,11.384198,18.72,69.07544,20.73,3.127739,62.58
7,2024-02-20 22:00:00+00:00,3.0,13.85,3.1,12.213936,0.20946121,0,0,39293.9,34288.98,3.9,4.55,0.0,0.0,0.0,0.0,0.0,0.0,7.5685663,17.28,98.350685,15.89,2.1538591,45.51
8,2024-02-21 22:00:00+00:00,53.0,12.1,6.3,9.026558,3.9823856,0,0,39445.613,32400.0,3.9,4.6,1.0,1.0,0.0,0.0,2.0,100.0,25.872456,55.44,242.93279,14.17,1.6488302,42.72
9,2024-02-22 22:00:00+00:00,51.0,9.05,2.85,4.995306,-1.4916546,0,0,39598.594,34776.285,3.5,4.2,0.3,0.3,0.0,0.0,2.0,87.0,28.99062,64.079994,276.98688,16.84,2.3054051,38.3
10,2024-02-23 22:00:00+00:00,3.0,9.05,2.6,4.7368355,-1.7449012,0,0,39753.01,36513.55,4.3,4.3,0.0,0.0,0.0,0.0,0.0,29.0,20.780453,52.92,269.5091,20.64,2.5912604,49.79
11,2024-02-24 22:00:00+00:00,53.0,12.75,4.9,8.1961,1.2698059,0,0,39908.74,28537.686,3.1,4.5,1.3000001,1.3000001,0.0,0.0,4.0,100.0,29.871325,63.36,230.21098,13.33,1.7267474,42.06
12,2024-02-25 22:00:00+00:00,53.0,9.65,4.05,7.370492,1.2711577,0,0,40065.637,35554.246,4.45,4.45,0.9,0.9,0.0,0.0,2.0,97.0,18.947083,50.399998,278.4418,19.52,2.3184443,55.16
13,2024-02-26 22:00:00+00:00,3.0,10.15,2.45,5.974927,-2.2112496,0,0,40223.586,37003.555,4.55,4.55,0.0,0.0,0.0,0.0,0.0,9.0,26.983194,58.679996,354.56424,22.05,3.1146514,58.17
14,2024-02-27 22:00:00+00:00,0.0,12.8,0.2,8.917015,-3.3767245,0,0,40382.457,37168.46,4.7,4.7,0.0,0.0,0.0,0.0,0.0,0.0,16.65754,34.92,20.252361,22.65,3.1187632,68
15,2024-02-28 22:00:00+00:00,3.0,12.45,0.35,9.716153,-2.722283,0,0,40542.117,37333.93,4.95,4.95,0.0,0.0,0.0,0.0,0.0,0.0,25.277025,57.239998,286.95987,22.61,2.960606,69.09
16,2024-02-29 22:00:00+00:00,0.0,12.0,-0.15,7.9664307,-3.791349,0,0,40702.45,37499.836,4.75,4.75,0.0,0.0,0.0,0.0,0.0,0.0,20.957443,42.48,258.9339,22.74,3.0606027,48.56
18,2024-03-02 22:00:00+00:00,3.0,7.5,1.05,3.116539,-3.499401,0,0,41024.64,37832.42,4.8,4.8,0.0,0.0,0.0,0.0,0.0,13.0,23.491207,47.519997,278.47928,21.7,2.4266317,6.27
19,2024-03-03 22:00:00+00:00,3.0,11.55,3.45,8.30115,0.3180046,0,0,41186.26,37998.87,3.9,4.9,0.0,0.0,0.0,0.0,0.0,65.0,19.33639,42.12,237.48328,19.79,2.125359,43.60
20,2024-03-04 22:00:00+00:00,3.0,12.2,2.15,9.390845,-0.50721884,0,0,41348.074,38165.25,4.9,4.9,0.0,0.0,0.0,0.0,0.0,2.0,14.84318,30.960001,249.54576,23.63,3.151011,64.84
21,2024-03-05 22:00:00+00:00,3.0,12.85,0.85,10.6726055,-2.4391491,0,0,41509.965,38331.44,4.65,5.1,0.0,0.0,0.0,0.0,0.0,0.0,11.019764,20.880001,54.899273,22.7,2.9766374,73.4
22,2024-03-06 22:00:00+00:00,63.0,12.8,3.1,8.03845,0.25177765,0,0,41671.82,27152.338,4.3,4.95,10.2,10.2,0.0,0.0,6.0,100.0,24.195107,54.719997,154.34769,15.99,1.9601178,39.38
23,2024-03-07 22:00:00+00:00,61.0,9.05,3.5,3.9324675,-0.3264041,0,0,41833.52,28705.85,4.55,4.9,5.3999996,5.3999996,0.0,0.0,12.0,97.0,24.216522,50.039997,213.82715,14.97,1.6285731,52.19
24,2024-03-08 22:00:00+00:00,63.0,7.05,2.85,3.2978268,-1.0755892,0,0,41994.957,10559.272,4.25,4.95,17.599998,17.599998,0.0,0.0,15.0,100.0,21.2522,49.32,219.30237,7.82,0.83580613,43.29
25,2024-03-09 22:00:00+00:00,61.0,11.15,3.1,7.183483,-0.13504171,0,0,42156.01,37352.49,4.55,4.9,6.1,6.1,0.0,0.0,7.0,74.0,23.4,74.520004,247.61594,19.02,2.249585,66.8
26,2024-03-10 22:00:00+00:00,3.0,12.2,5.05,9.386818,0.7237015,0,0,42316.574,39077.8,5.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,17.414476,42.12,277.91132,23.85,3.1872334,80.3
27,2024-03-11 22:00:00+00:00,3.0,15.35,1.95,13.73015,-1.6008341,0,0,42476.53,39143.94,5.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,9.346143,16.919998,93.61388,25.76,3.5736277,78.39
28,2024-03-12 22:00:00+00:00,3.0,17.0,4.8,16.008493,1.7117772,0,0,42635.926,39209.684,5.15,5.45,0.0,0.0,0.0,0.0,0.0,0.0,10.514218,18.0,62.44729,25.12,3.673403,77.09
29,2024-03-13 22:00:00+00:00,3.0,15.65,4.8,13.37443,2.2321625,0,0,42795.914,39275.1,5.4,5.65,0.0,0.0,0.0,0.0,0.0,19.0,14.8257065,30.599998,203.40468,25.02,3.3761954,62.5
30,2024-03-14 22:00:00+00:00,63.0,16.15,4.2,16.053398,1.9774017,0,0,42956.688,31429.262,5.0,5.7,3.4999998,3.4999998,0.0,0.0,3.0,3.0,6.489992,17.64,161.56494,19.95,2.9072368,67.65
31,2024-03-15 22:00:00+00:00,3.0,16.95,5.95,16.392649,4.117338,0,0,43118.137,36117.047,5.5,5.85,0.0,0.0,0.0,0.0,0.0,0.0,9.220499,20.16,136.68463,20.19,2.9133787,75.47
32,2024-03-16 22:00:00+00:00,3.0,18.95,7.95,18.926315,6.360238,0,0,43280.164,39469.52,5.15,5.95,0.0,0.0,0.0,0.0,0.0,0.0,9.085988,13.679999,107.99318,21.67,3.3594475,73.62
33,2024-03-17 22:00:00+00:00,3.0,20.05,9.35,20.067207,7.6633387,0,0,43442.67,39533.734,4.75,5.9,0.0,0.0,0.0,0.0,0.0,0.0,8.913181,17.28,106.50447,22.95,3.605972,70.91
34,2024-03-18 22:00:00+00:00,3.0,21.35,10.5,21.348494,8.980475,0,0,43605.55,39639.145,5.85,5.85,0.0,0.0,0.0,0.0,0.0,0.0,10.028439,19.8,95.92736,26.79,4.407618,78.16
35,2024-03-19 22:00:00+00:00,3.0,21.2,10.45,20.409351,8.384726,0,0,43768.703,39734.63,5.4,5.8,0.0,0.0,0.0,0.0,0.0,84.0,15.580141,34.92,85.26264,25.02,4.336571,70.57
36,2024-03-20 22:00:00+00:00,3.0,22.9,12.15,21.346392,8.755511,0,0,43932.027,39122.28,5.75,5.8,0.0,0.0,0.0,0.0,0.0,80.0,18.171976,32.760002,61.83339,24.06,4.47012,83.5
37,2024-03-21 22:00:00+00:00,3.0,24.1,12.15,23.473759,9.842802,0,0,44095.42,40033.47,5.5,5.9,0.0,0.0,0.0,0.0,0.0,0.0,15.815435,29.88,59.759224,27.54,5.1163373,76.98
38,2024-03-22 22:00:00+00:00,3.0,22.7,10.9,21.992477,8.827536,0,0,44258.78,39095.89,5.55,5.85,0.0,0.0,0.0,0.0,0.0,0.0,18.35647,34.56,55.311256,24.07,4.1601,83.38
39,2024-03-23 22:00:00+00:00,3.0,20.7,11.55,18.56645,8.975367,0,0,44422.004,40484.65,6.05,6.05,0.0,0.0,0.0,0.0,0.0,0.0,14.986553,32.039997,68.92803,27.59,4.6439815,71.4
40,2024-03-24 22:00:00+00:00,65.0,13.8,8.7,12.502327,6.4952164,0,0,44585.0,12936.899,4.55,5.95,21.4,21.4,0.0,0.0,10.0,97.0,11.753877,32.399998,183.98248,7.75,1.2458988,19.52
41,2024-03-25 22:00:00+00:00,53.0,8.75,2.4,5.3616333,-2.0587983,0,0,44747.656,40781.57,5.25,5.8,1.4,1.4,0.0,0.0,6.0,84.0,20.140705,51.839996,245.0525,23.55,2.7248151,60.39
42,2024-03-26 22:00:00+00:00,61.0,12.1,2.45,7.485386,-1.600333,0,0,44909.867,14400.0,5.85,6.05,6.6000004,6.6000004,0.0,0.0,11.0,100.0,30.802622,75.96,230.34969,10.55,1.3098305,67.4
43,2024-03-27 22:00:00+00:00,63.0,13.75,6.55,10.387875,2.6324267,0,0,45071.527,30555.695,5.6,6.0,10.6,10.6,0.0,0.0,8.0,100.0,25.992397,63.0,222.27672,15.4,2.0419104,65.22
44,2024-03-28 22:00:00+00:00,65.0,10.4,4.25,7.7994175,1.6254625,0,0,45232.543,6173.584,1.1,5.7,38.100002,38.100002,0.0,0.0,18.0,100.0,21.986542,49.32,218.32687,6.35,0.78228,31.01
45,2024-03-29 22:00:00+00:00,61.0,10.55,3.4,7.036169,1.0910382,0,0,45392.8,15123.802,3.65,5.85,10.900001,10.900001,0.0,0.0,12.0,100.0,25.40743,44.639996,183.32735,12.67,1.4892071,64.80
46,2024-03-30 22:00:00+00:00,63.0,9.5,4.05,5.201042,1.0384021,0,0,45552.18,18978.506,5.2,5.9,14.699999,14.699999,0.0,0.0,15.0,97.0,21.470612,56.519997,218.59384,13.04,1.4705046,56.01
47,2024-03-31 22:00:00+00:00,51.0,11.75,2.05,7.3860035,-1.0199049,0,0,45710.594,33036.855,6.1,6.1,0.3,0.3,0.0,0.0,1.0,10.0,23.675304,54.0,228.57948,25.62,2.8574014,90.60
48,2024-04-01 22:00:00+00:00,3.0,12.45,1.85,9.578106,-0.8694596,0,0,45868.06,39832.184,3.65,6.5,0.0,0.0,0.0,0.0,0.0,23.0,15.546833,33.12,221.34311,19.14,2.5021627,54.57
49,2024-04-02 22:00:00+00:00,3.0,16.15,5.1,14.317007,3.3992195,0,0,46025.668,39600.0,6.4,6.4,0.0,0.0,0.0,0.0,0.0,0.0,11.183201,25.199999,221.28458,29.84,4.2286224,90.79
50,2024-04-03 22:00:00+00:00,3.0,18.55,4.7,17.943975,3.1518526,0,0,46183.6,42043.703,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,9.511088,25.56,199.59238,30.42,4.586809,95.38
51,2024-04-04 22:00:00+00:00,3.0,20.7,7.8,19.423798,5.5911055,0,0,46341.766,42368.97,5.65,6.55,0.0,0.0,0.0,0.0,0.0,0.0,13.755579,23.759998,69.5436,31.2,5.1139455,91.31
52,2024-04-05 22:00:00+00:00,51.0,21.9,10.8,21.246193,8.006607,0,0,46500.05,40454.844,4.1,6.6,0.2,0.2,0.0,0.0,1.0,0.0,14.291592,28.44,33.590546,24.72,4.3361273,62.42
53,2024-04-06 22:00:00+00:00,53.0,19.7,11.45,18.272747,9.719283,0,0,46658.363,42675.637,5.55,6.55,0.9,0.9,0.0,0.0,1.0,35.0,18.0,46.44,238.32458,28.48,4.3668566,86.15
54,2024-04-07 22:00:00+00:00,53.0,14.95,7.95,11.702484,4.328664,0,0,46816.6,38005.633,6.6,6.6,1.3,1.3,0.0,0.0,3.0,77.0,25.133053,51.12,244.5101,26.07,3.5004807,75.18
55,2024-04-08 22:00:00+00:00,0.0,14.2,2.45,11.730105,-0.06664801,0,0,46974.66,43342.254,6.6,6.6,0.0,0.0,0.0,0.0,0.0,0.0,14.982228,38.519997,309.5226,33.24,4.8759546,103.10
56,2024-04-09 22:00:00+00:00,3.0,18.75,3.5,17.520115,0.3449607,0,0,47132.438,43341.793,6.85,6.9,0.0,0.0,0.0,0.0,0.0,0.0,11.726277,27.359999,56.088257,32.44,5.0535893,101.64
57,2024-04-10 22:00:00+00:00,3.0,25.1,8.05,24.237953,6.4843035,0,0,47289.82,43628.9,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,15.986593,30.960001,44.084312,32.4,6.1650023,101.19
58,2024-04-11 22:00:00+00:00,3.0,23.1,8.2,22.223465,6.0044584,0,0,47446.71,43925.312,7.1,7.1,0.0,0.0,0.0,0.0,0.0,0.0,9.565437,20.519999,126.52887,33.16,5.804085,100.75
59,2024-04-12 22:00:00+00:00,0.0,25.8,9.35,23.972885,7.7802343,0,0,47602.992,44305.11,7.15,7.15,0.0,0.0,0.0,0.0,0.0,0.0,8.287822,15.84,87.63049,33.96,5.9931746,101.71
60,2024-04-13 22:00:00+00:00,3.0,25.3,10.5,23.400633,8.284551,0,0,47758.555,44462.02,6.75,7.2,0.0,0.0,0.0,0.0,0.0,0.0,9.178235,18.72,143.80666,33.03,6.0718107,101.07
61,2024-04-14 22:00:00+00:00,51.0,25.9,11.7,25.556007,10.032239,0,0,47913.28,44697.477,7.0,7.0,0.1,0.1,0.0,0.0,1.0,32.0,16.870138,31.319998,58.151,29.46,5.6007886,100.41
62,2024-04-15 22:00:00+00:00,0.0,24.55,9.65,23.050558,8.250766,0,0,48067.062,44845.64,7.05,7.05,0.0,0.0,0.0,0.0,0.0,0.0,10.514218,26.28,116.231865,33.84,6.218138,104.93
63,2024-04-16 22:00:00+00:00,0.0,20.1,7.65,18.35177,4.2316084,0,0,48219.773,44973.414,7.05,7.05,0.0,0.0,0.0,0.0,0.0,0.0,14.982228,28.08,73.49055,34.34,5.899618,108.42
64,2024-04-17 22:00:00+00:00,3.0,20.35,7.25,18.215246,3.9924908,0,0,48371.3,45032.668,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.202726,32.760002,61.229313,34.79,6.1169977,109.30
65,2024-04-18 22:00:00+00:00,3.0,20.2,6.05,18.78347,1.6599488,0,0,48521.516,45091.754,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,17.610588,33.12,49.744366,34.82,5.9785514,107.93
66,2024-04-19 22:00:00+00:00,3.0,22.4,8.75,19.53581,6.88717,0,0,48670.297,45150.668,6.65,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.371645,28.44,64.25935,29.87,5.4482136,109
67,2024-04-20 22:00:00+00:00,3.0,21.7,8.7,19.758894,5.102234,0,0,48817.51,43856.08,7.05,7.05,0.0,0.0,0.0,0.0,0.0,0.0,17.518356,33.12,56.87989,35.31,6.8272758,109.21
68,2024-04-21 22:00:00+00:00,3.0,17.35,4.8,14.29294,1.9854302,0,0,48963.17,45268.02,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,16.434305,37.079998,52.229706,35.87,6.127779,110.48
69,2024-04-22 22:00:00+00:00,1.0,16.1,1.35,11.653178,-2.1773424,0,0,49108.332,45326.754,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,18.448023,43.199997,24.292624,35.81,5.4655604,108.27
70,2024-04-23 22:00:00+00:00,3.0,18.15,3.1,14.439068,-1.1324506,0,0,49253.156,45385.566,7.15,7.15,0.0,0.0,0.0,0.0,0.0,0.0,19.083395,42.839996,54.300278,35.94,5.8271093,112.53
71,2024-04-24 22:00:00+00:00,3.0,17.4,5.9,14.15369,2.9502316,0,0,49397.535,45444.418,6.9,7.1,0.0,0.0,0.0,0.0,0.0,0.0,18.079027,38.519997,317.68005,31.53,4.969123,84.19
